Category	2018/19	2019/20	2020/21	2021/22	2022/23	2023/24
Real GDP growth at constant market prices	-6.0	-6.8	1.7	2.1	2.2	2.3
Private Consumption	-2.6	-7.7	-1.1	2.2	2.0	2.0
Government Consumption	-2.9	-6.0	2.3	3.2	1.8	1.5
Gross Fixed Capital Investment	-12.3	-5.9	0.7	1.9	3.9	4.1
Exports Goods and Services	-12.5	-29.9	-12.2	4.0	4.0	4.3
Imports Goods and Services	-29.5	-38.1	-32.4	1.5	2.5	2.6
Real GDP growth at constant factor prices	-5.4	-6.5	1.6	2.1	2.2	2.3
Agriculture	-0.9	8.8	4.0	4.0	4.2	4.2
Industry	-11.0	-15.9	4.3	2.9	3.3	3.7
Services	-0.7	-0.5	-0.7	1.2	1.0	0.8
Inflation Consumer Price Index	31.1	41.3	36.9	29.3	21.7	18.9
Current Account Balance of GDP	5.9	0.6	-0.8	0.8	1.1	1.3
Net Foreign Direct Investment of GDP	0.6	0	0	0	0	0
Fiscal Balance of GDP	-1.6	-3.7	-6.3	-6.7	-7.0	-7.0
Gross Public Debt of GDP	38.5	47.9	50.3	52.1	54.7	57.4
Primary Balance of GDP	-1.3	-3.0	-5.3	-5.2	-5.0	-4.9
